outcome,loanID,married,dependents,education,selfEmployed,applicantIncome,coapplicantIncome,loanAmount,loanAmountTerm,creditHistory,propertyArea
0,LP001003,1,1,1,0,4583,1508.0,128.0,360.0,1.0,1
1,LP001005,1,0,1,1,3000,0.0,66.0,360.0,1.0,3
1,LP001006,1,0,0,0,2583,2358.0,120.0,360.0,1.0,3
1,LP001008,0,0,1,0,6000,0.0,141.0,360.0,1.0,3
1,LP001011,1,2,1,1,5417,4196.0,267.0,360.0,1.0,3
1,LP001013,1,0,0,0,2333,1516.0,95.0,360.0,1.0,3
0,LP001014,1,3,1,0,3036,2504.0,158.0,360.0,0.0,2
1,LP001018,1,2,1,0,4006,1526.0,168.0,360.0,1.0,3
0,LP001020,1,1,1,0,12841,10968.0,349.0,360.0,1.0,2
1,LP001024,1,2,1,0,3200,700.0,70.0,360.0,1.0,3
1,LP001027,1,2,1,0,2500,1840.0,109.0,360.0,1.0,3
1,LP001028,1,2,1,0,3073,8106.0,200.0,360.0,1.0,3
0,LP001029,0,0,1,0,1853,2840.0,114.0,360.0,1.0,1
1,LP001030,1,2,1,0,1299,1086.0,17.0,120.0,1.0,3
1,LP001032,0,0,1,0,4950,0.0,125.0,360.0,1.0,3
1,LP001034,0,1,0,0,3596,0.0,100.0,240.0,No,3
0,LP001036,0,0,1,0,3510,0.0,76.0,360.0,0.0,3
0,LP001038,1,0,0,0,4887,0.0,133.0,360.0,1.0,1
0,LP001043,1,0,0,0,7660,0.0,104.0,360.0,0.0,3
1,LP001046,1,1,1,0,5955,5625.0,315.0,360.0,1.0,3
0,LP001047,1,0,0,0,2600,1911.0,116.0,360.0,0.0,2
0,LP001050,1,2,0,0,3365,1917.0,112.0,360.0,0.0,1
0,LP001052,1,1,1,0,3717,2925.0,151.0,360.0,No,2
1,LP001066,1,0,1,1,9560,0.0,191.0,360.0,1.0,2
1,LP001068,1,0,1,0,2799,2253.0,122.0,360.0,1.0,2
1,LP001073,1,2,0,0,4226,1040.0,110.0,360.0,1.0,3
0,LP001086,0,0,0,0,1442,0.0,35.0,360.0,1.0,3
1,LP001087,0,2,1,0,3750,2083.0,120.0,360.0,1.0,2
0,LP001091,1,1,1,0,4166,3369.0,201.0,360.0,No,3
0,LP001095,0,0,1,0,3167,0.0,74.0,360.0,1.0,3
0,LP001097,0,1,1,1,4692,0.0,106.0,360.0,1.0,1
1,LP001098,1,0,1,0,3500,1667.0,114.0,360.0,1.0,2
0,LP001100,0,3,1,0,12500,3000.0,320.0,360.0,1.0,1
1,LP001112,1,0,1,0,3667,1459.0,144.0,360.0,1.0,2
1,LP001114,0,0,1,0,4166,7210.0,184.0,360.0,1.0,3
1,LP001116,0,0,0,0,3748,1668.0,110.0,360.0,1.0,2
0,LP001119,0,0,1,0,3600,0.0,80.0,360.0,1.0,3
1,LP001120,0,0,1,0,1800,1213.0,47.0,360.0,1.0,3
1,LP001123,1,0,1,0,2400,0.0,75.0,360.0,No,3
1,LP001131,1,0,1,0,3941,2336.0,134.0,360.0,1.0,2
